mean,lb,ub,survival,sig,dotColor1,dotColor2,dotColor
0.0,0.0,0.0,0,0,0,1,0
0.563322439310699,0.5633224393107095,0.5633224393107095,1,1,1,2,2
-0.7516657083632486,-0.7516657083632536,-0.7516657083632536,1,1,1,2,2
0.035753144769141,0.03575314476914059,0.03575314476914059,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
-0.4818419788892477,-0.48184197888925345,-0.48184197888925345,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.2972818005449848,0.29728180054498354,0.29728180054498354,1,1,1,2,2
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0,0,0,1,0
0.8348956665613584,0.8348956665613717,0.8348956665613717,1,1,1,2,2
0.7195843387866041,0.7195843387866094,0.7195843387866094,1,1,1,2,2
-0.32910893750233067,-0.32910893750233666,-0.32910893750233666,1,1,1,2,2
